Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
37549506,Sapiens: Lược sử loài người,Yuval Noah Harari,"Harari, Yuval Noah","Nguyễn Thuỷ Chung, Võ Minh Tuấn","=""6049436002""","=""9786049436000""",0,4.34,Alphabooks & NXB Tri Thức,Paperback,548,2017,2011,2021/01/01,2019/10/22,history,history (#2),read,,,,1,0
49098237,Written in Bone: Hidden Stories in What We Leave Behind,Sue Black,"Black, Sue",,"=""0857526901""","=""9780857526908""",0,4.30,Doubleday,Hardcover,368,2020,2020,,2025/09/18,to-read,to-read (#22),to-read,,,,0,0
35212990,All That Remains: A Life in Death,Sue Black,"Black, Sue",,"=""0857524925""","=""9780857524928""",5,4.16,Doubleday,Hardcover,368,2018,2018,2025/09/19,2025/09/18,,,read,"Cái chết không còn đáng sợ qua lời miêu tả của cô Sue Black. Mình chưa 30 tuổi, hãy vẫn còn trẻ nhưng mình muốn chuẩn bị sẵn sàng cho sự ra đi của bản thân, chắc ai cũng nên như vậy. Đó là việc mà mình sẽ lưu tâm sau khi bắt đầu đọc hơn nữa quyển sách này. Mặc dù lý do mình bắt đầu đọc là vì tò mò về những ca khám nghiệm tử thi và những câu chuyện ly kỳ xung quanh. Đọc rồi mới thấy, thật ra khi nói sợ cái chết, có lẽ chúng ta sẽ nghĩ đến những nỗi sợ thể chất như sợ đau, sợ sự dày vò thân thể, đây là nỗi sợ bản năng mà khi nó xảy ra, chúng ta ít có hành động đối phó được, hoạ chăng là tiêm morphine để giảm đau. Nỗi đau về tinh thần mới là thứ chúng ta có thể chủ động, dang tay ra sắp xếp. Vậy nên ráng sống trọn vẹn để bản thân không hối tiếc, trao đi yêu thương để không phải day dứt khi ra đi. Sống sao để mỗi ngày sống thêm là một phần thưởng chứ không phải là gần cái chết thêm một ngày. Không nhất thiết phải sống lâu, hãy sống đủ.",,,1,0
213034913,Source Code: My Beginnings,Bill  Gates,"Gates, Bill",,"=""059380158X""","=""9780593801581""",0,4.16,Knopf,Hardcover,336,2025,2025,,2025/02/08,currently-reading,currently-reading (#15),currently-reading,,,,1,0
55333754,Những Quy Luật Của Bản Chất Con Người,Robert Greene,"Greene, Robert","Nguyễn Thành Nhân, Nguyễn Thanh Liêm","=""6041166928""","=""9786041166929""",0,4.42,NXB Trẻ,Paperback,884,2020,,,2024/09/24,currently-reading,currently-reading (#14),currently-reading,,,,1,0
30526623,Lời hứa về một cây bút chì,Adam Braun,"Braun, Adam",Hải Đăng,"=""""","=""""",0,4.12,NXB Thế giới & Alphabooks,Paperback,364,2016,2014,,2024/09/23,currently-reading,currently-reading (#13),currently-reading,,,,1,0
17618832,Tháng Ba gãy súng,Cao Xuân Huy,"Huy, Cao Xuân",,"=""""","=""""",5,3.45,,Unknown Binding,,2012,2012,2024/09/22,2024/09/22,history,history (#10),read,"Hồi ký về khoảng thời gian tầm một tháng trước giải phóng miền Nam, vỏn vẹn 12 ngày, của một lính Thuỷ Quân Lục Chiến (TQLC) thuộc chế độ Việt Nam Cộng Hoà (VNCH). <br/><br/>Mình luôn có một sự tò mò về góc nhìn của người lính VNCH đối với quân giải phóng. Rốt cuộc thì họ vẫn là những người lính, chiến đấu cho phe mà họ thuộc về, hi sinh như những con cờ của chế độ. <br/><br/>Hồi ký này viết theo kiểu thô ráp, từ ngữ không trau chuốt văn chương, vì vậy nó có vẻ thật hơn. Sự kiện rút quân khỏi Huế được kể lại thật sự có những chi tiết kinh hoàng, máu lạnh, mình phải đọc đi đọc lại cho kỹ, phải tra google xem ảnh các loại súng, phương tiện được nhắc đến để hình dung bức tranh nó đẫm máu ra sao. Bên lề một chút, sau sự kiện này, dư luận miền Nam trách móc lữ đoàn VNCH yếu kém để thiệt hại nặng nề, hồi ký này cũng mô tả rõ nguyên nhân vì sao, như một lời minh oan, lấy lại danh dự cho lính TQLC. Thông tin này mình xem ở website tqlcvn.org.<br/><br/>Sau cuộc chiến, những người lính sống sót qua trại cải tạo đều tìm đường qua bên kia đại dương. Nỗi đau thua cuộc, xa quê hương, mất người thân, đồng đội, có phải ai cũng đồng cảm được?",,,1,0
13507222,Gỗ Mun,Ryszard Kapuściński,"Kapuściński, Ryszard",Nguyễn Thái Linh,"=""""","=""""",0,4.39,"Thế Giới, Nhã Nam",Unknown Binding,469,2011,1998,,2024/03/30,"currently-reading, geography","currently-reading (#12), geography (#1)",currently-reading,,,,1,0
60838950,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172029""","=""9781982172022""",0,4.41,Scribner,Kindle Edition,463,2022,2022,,2023/03/05,currently-reading,currently-reading (#11),currently-reading,,,,1,0
60843565,The Diary of a Young Girl,Anne Frank,"Frank, Anne",,"=""9355842740""","=""9789355842749""",0,4.20,True Sign Publishing House,Kindle Edition,435,2022,1947,,2023/02/01,currently-reading,currently-reading (#10),currently-reading,,,,1,0
36271893,The Lost World,Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""""","=""""",0,3.93,AmazonClassics,Kindle Edition,137,2017,1912,,2022/11/17,currently-reading,currently-reading (#9),currently-reading,,,,1,0
18895254,"Anatomy for Runners: Unlocking Your Athletic Potential for Health, Speed, and Injury Prevention",Jay Dicharry,"Dicharry, Jay",,"=""""","=""""",0,4.22,Skyhorse,Kindle Edition,322,2012,,,2022/11/16,currently-reading,currently-reading (#8),currently-reading,,,,1,0
37557642,Running Your First Marathon: The Complete 20-Week Marathon Training Plan,Andrew Kastor,"Kastor, Andrew",,"=""1939754313""","=""9781939754318""",0,4.13,Rockridge Press,Kindle Edition,152,2017,,,2022/10/30,"currently-reading, sport","currently-reading (#7), sport (#1)",currently-reading,,,,1,0
50908574,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải",Cao Minh,"Minh, Cao",,"=""""","=""""",0,4.01,NXB Thế Giới,Paperback,424,2019,2010,2022/10/30,2022/10/30,mental-health,mental-health (#2),read,,,,1,0
18967497,"Knots, Splices and Rope Work (Illustrated)",A. Hyatt Verrill,"Verrill, A. Hyatt",Stacey Dennehy,"=""""","=""""",0,3.67,ICU Publishing,Kindle Edition,28,2013,1944,,2022/10/12,currently-reading,currently-reading (#6),currently-reading,,,,1,0
